# fofid            subhaloid        galaxyid        x            y            z           redshift      velx          vely          velz          g_sdss        r_sdss        i_sdss       
  62000100000001   62000100000086   1000020004393   62.20458     56.97084     6.202018    0.019932542   394.0614      757.38916     -499.36008    -15.478377    -16.175228    -16.491953   
  62000100000001   62000100000086   1000020003973   61.84216     56.34079     6.888553    0.019932542   -522.9822     268.1803      -61.40097     -16.536783    -17.334791    -17.701458   
  62000100000001   62000100000086   1000020003538   61.904514    56.913517    6.4117765   0.019932542   -39.659843    -47.652462    -315.22208    -16.187737    -16.989107    -17.360142   
  62000600000000   62000600000000   6000033003192   2.20849      0.95983267   40.26895    0.019932542   -734.052      -102.050964   20.876055     -14.011811    -14.57707     -14.816579   
  62000600000000   62000600000000   6000033001426   2.0425363    1.2127233    40.02093    0.019932542   -381.047      -475.2057     81.33826      -14.081698    -14.75856     -15.060823   
  62000300000000   62000300000000   3000042006079   43.908527    14.607886    13.613642   0.019932542   -513.7723     -593.5971     123.33061     -15.820457    -16.564226    -16.901085   
  62000300000000   62000300000000   3000042005603   43.989304    14.811978    13.598848   0.019932542   85.820114     506.9423      -1033.4644    -16.527718    -17.27693     -17.616144   
  62000300000000   62000300000000   3000042004763   44.071083    15.061144    13.186877   0.019932542   -227.34412    587.7426      537.12634     -14.799666    -15.52475     -15.853118   
  62000300000000   62000300000000   3000042004153   43.743664    14.929971    13.536141   0.019932542   -20.07008     867.82837     260.87772     -14.621176    -15.271916    -15.560332   
  62000300000000   62000300000000   3000042003299   44.53362     14.681618    13.772888   0.019932542   -230.16125    -85.93589     671.973       -14.38911     -15.106771    -15.430299   
  62000300000000   62000300000000   3000042001942   44.053658    14.782512    13.637442   0.019932542   53.438656     -333.02847    499.5809      -15.963163    -16.721535    -17.068434   
  62000300000019   62000300000508   3000060001692   54.815575    7.7906227    29.726158   0.019932542   24.493296     226.9451      233.45885     -13.920839    -14.489599    -14.731174   
  62000600000000   62000600000000   6000033004298   2.0132864    1.165567     40.25494    0.019932542   151.17369     -143.49171    -632.88153    -14.172837    -15.096378    -15.560929   
  62000300000000   62000300000000   3000042007096   44.40135     14.533356    13.757826   0.019932542   30.043306     3.268466      1095.062      -16.264122    -16.937744    -17.23994    
  62000600000003   62000600000114   6000036001389   29.251364    31.240023    47.952076   0.019932542   139.86552     -277.10065    94.092926     -16.214024    -16.94833     -17.282125   
  62000600000006   62000600000180   6000033013107   1.4402528    62.33789     41.275497   0.019932542   -224.6449     30.264227     -417.44318    -17.113108    -17.859318    -18.194548   
  62000600000000   62000600000000   6000033004763   2.556579     1.1707296    39.926785   0.019932542   -36.031605    -146.41689    375.7231      -16.04584     -16.77741     -17.108116   
  62000600000000   62000600000000   6000033003711   2.0107396    1.0770637    40.19466    0.019932542   -293.9868     -284.938      -1011.4748    -11.981188    -12.510668    -12.740051   
  62000600000000   62000600000000   6000033002826   1.8830291    1.2009528    39.894035   0.019932542   -144.76561    553.18        119.31483     -17.193665    -18.008461    -18.38082    
